Date,Exercise,Reps,Smoothness,Depth,Score
2026-08-04 23:59,Bicep Curl,1,58,77,74
2026-08-04 23:59,Bicep Curl,2,35,100,74
2026-08-04 23:59,Bicep Curl,3,34,100,73
2026-08-04 23:59,Bicep Curl,4,34,100,73
2026-08-04 23:59,Bicep Curl,5,34,100,73
2026-08-04 23:59,Bicep Curl,6,32,100,73
2026-08-04 23:59,Bicep Curl,7,31,100,72
2026-08-05 00:00,Bicep Curl,8,35,100,74
2026-08-05 00:00,Bicep Curl,9,32,100,73
2026-08-05 00:00,Bicep Curl,0,34,100,73
2026-08-05 00:00,Bicep Curl,1,35,100,74
2026-08-05 00:00,Bicep Curl,2,35,100,74
2026-08-10 21:39,Bicep Curl,1,0,100,60
2026-08-10 21:39,Bicep Curl,2,0,100,60
2026-08-23 16:01,Bicep Curl,1,0,100,60
